Time,Mean RTT,Std Dev,Elevation,State
Thu Mar 12 16:15:31 2026,26.8,28.077749197540747,9.8,0
Thu Mar 12 16:16:08 2026,23.5,9.749358953285082,8.5,0
Thu Mar 12 16:25:31 2026,18.0,0.5577733510227174,0.6666666666666679,0
Thu Mar 12 16:26:05 2026,18.0,0.7370277311900887,1.0,0
Thu Mar 12 16:26:50 2026,17.683333333333334,0.43748015828022285,0.6833333333333336,0
Thu Mar 12 16:27:40 2026,18.033333333333335,0.4582575694955844,0.7000000000000028,0
Thu Mar 12 16:28:31 2026,19.116666666666667,1.406433629985985,1.4499999999999993,0
Thu Mar 12 16:29:57 2026,40.0,0.0,0.0,0
Thu Mar 12 21:16:38 2026,114.54166666666667,118.40912332295646,89.54166666666667,1
Thu Mar 12 21:16:52 2026,129.92592592592592,120.51656079814009,104.5925925925926,1
Thu Mar 12 21:17:11 2026,103.5625,100.80464252632966,72.89583333333333,1
Thu Mar 12 21:17:25 2026,51.25925925925926,31.899834659495575,26.59259259259259,1
Thu Mar 12 21:17:44 2026,107.3125,113.97917809053742,79.64583333333333,1
Thu Mar 12 21:17:59 2026,102.14814814814815,67.4935956927293,73.48148148148148,1
Thu Mar 12 21:18:13 2026,31.037037037037038,10.226381333172931,11.037037037037038,0
Thu Mar 12 21:18:33 2026,33.03703703703704,12.153792726577311,12.037037037037038,0
Thu Mar 12 21:18:59 2026,38.907407407407405,10.01268057469174,16.407407407407405,0
Thu Mar 12 21:19:41 2026,270.31481481481484,298.7061651755025,250.31481481481484,1
Thu Mar 12 21:20:02 2026,434.93333333333334,301.1713724037455,304.93333333333334,1
Thu Mar 12 21:20:26 2026,465.73809523809524,269.34172925891266,312.73809523809524,1
Fri Mar 13 11:18:44 2026,169.73809523809524,124.4982902012656,124.07142857142858,1
Fri Mar 13 23:30:17 2026,28.433333333333334,9.077199763999664,9.100000000000001,0
Fri Mar 13 23:30:42 2026,45.53333333333333,29.47737362038137,31.866666666666667,0
Fri Mar 13 23:31:25 2026,53.86666666666667,9.885117882734406,10.533333333333331,0
Tue Mar 17 17:18:36 2026,22.4,5.953150426454886,4.733333333333331,0,
Tue Mar 17 17:19:02 2026,32.733333333333334,6.416645021608516,9.733333333333334,0,
Tue Mar 17 17:19:45 2026,59.63333333333333,5.483713259381011,7.633333333333333,0,
Tue Mar 17 17:20:30 2026,20.233333333333334,1.6852299546352716,1.9000000000000021,0,
Tue Mar 17 17:21:05 2026,19.2,4.0911829313510015,7.199999999999999,0,
Tue Mar 17 17:21:51 2026,73.4,4.841487374764082,6.400000000000006,1,
Tue Mar 17 17:22:24 2026,20.466666666666665,0.5811865258054227,0.466666666666665,0,
Tue Mar 17 17:22:53 2026,13.1,1.1135528725660044,1.5999999999999996,0,
Tue Mar 17 17:23:52 2026,59.5,7.5,7.5,0,
Tue Mar 17 17:24:37 2026,42.266666666666666,17.23484841824842,22.266666666666666,0,
Tue Mar 17 17:25:13 2026,19.233333333333334,4.923413450036469,7.233333333333334,0,
Tue Mar 17 17:26:10 2026,53.5,1.5,1.5,0,
Tue Mar 17 17:26:55 2026,38.96666666666667,0.748331477354788,0.9666666666666686,0,
Tue Mar 17 17:27:58 2026,25.7,3.2768548606518686,5.699999999999999,0,
Tue Mar 17 17:28:24 2026,100.13333333333334,69.83173426967936,68.46666666666667,1,
Tue Mar 17 17:28:59 2026,57.666666666666664,4.109609335312651,4.666666666666664,0,
Tue Mar 17 17:29:31 2026,46.166666666666664,15.875907673088944,17.166666666666664,0,
Tue Mar 17 17:30:29 2026,30.733333333333334,4.678081278093022,4.733333333333334,0,
Tue Mar 17 17:30:57 2026,19.96666666666667,4.526956299030656,7.966666666666669,0,
Tue Mar 17 17:31:55 2026,60.0,9.0,9.0,0,
Tue Mar 17 17:32:43 2026,26.833333333333332,5.521674464226309,9.833333333333332,0,
Tue Mar 17 17:34:01 2026,89.0,40.7529140062401,58.0,1,1160.0
Tue Mar 17 17:34:25 2026,20.286062876383465,2.9273981547494774,2.619396209716797,0,1150.0
Tue Mar 17 17:35:03 2026,79.44444444444444,7.46514534766259,5.444444444444443,1,1120.0
Tue Mar 17 17:35:36 2026,58.666666666666664,22.638462845343543,25.666666666666664,1,1170.0
Tue Mar 17 17:35:56 2026,24.066666666666666,8.845337754998392,12.066666666666666,0,1140.0
Tue Mar 17 17:36:35 2026,123.44444444444444,45.28619553653011,60.44444444444444,1,1140.0
Tue Mar 17 17:37:07 2026,34.041666666666664,5.26304596006702,5.041666666666664,0,984.0
Tue Mar 17 17:37:28 2026,12.866666666666667,1.733333333333333,0.8666666666666671,0,1080.0
Tue Mar 17 17:38:11 2026,96.22222222222221,36.76182937185569,32.222222222222214,1,1360.0
Tue Mar 17 17:38:40 2026,25.966666666666665,6.048323918427504,8.633333333333333,0,1200.0
Tue Mar 17 17:39:02 2026,24.133333333333333,4.155852633468987,6.133333333333333,0,1490.0
Tue Mar 17 17:39:42 2026,53.75,1.5523280008497637,2.0833333333333357,0,2160.0
Tue Mar 17 17:40:24 2026,33.833333333333336,7.627435858647241,7.833333333333336,0,976.0
Tue Mar 17 17:41:03 2026,26.8,6.8071857457967,11.8,0,1310.0
Tue Mar 17 17:41:59 2026,79.72222222222223,21.440845984783575,28.72222222222223,1,989.0
Tue Mar 17 17:42:35 2026,40.46666666666667,17.505046891301568,17.46666666666667,0,1210.0
Wed Mar 25 14:58:27 2026,72.06666666666666,16.643183456164735,14.066666666666663,1,
Wed Mar 25 14:58:45 2026,88.8,3.493486001753038,4.133333333333326,1,
Wed Mar 25 14:59:13 2026,100.16666666666667,13.837148068394246,17.5,1,
Wed Mar 25 14:59:41 2026,66.2,13.794684966802736,24.200000000000003,1,
Wed Mar 25 14:59:59 2026,82.2,19.244162173962724,19.200000000000003,1,
Wed Mar 25 15:00:27 2026,95.53333333333333,4.987094455804011,5.533333333333331,1,
Wed Mar 25 15:00:54 2026,58.06666666666666,4.850658603621664,5.733333333333327,0,
Wed Mar 25 15:01:15 2026,119.5,35.02729094736147,64.5,1,
